path,label
split_Ori_Face/train/LiuWen/534.jpg,1
split_Ori_Face/train/LiuWen/253.jpg,1
split_Ori_Face/train/LiuWen/432.jpg,1
split_Ori_Face/train/LiuWen/334.jpg,1
split_Ori_Face/train/LiuWen/412.jpg,1
split_Ori_Face/train/LiuWen/467.jpg,1
split_Ori_Face/train/LiuWen/447.jpg,1
split_Ori_Face/train/LiuWen/549.jpg,1
split_Ori_Face/train/LiuWen/17.jpg,1
split_Ori_Face/train/LiuWen/597.jpg,1
split_Ori_Face/train/LiuWen/190.jpg,1
split_Ori_Face/train/LiuWen/51.jpg,1
split_Ori_Face/train/LiuWen/529.jpg,1
split_Ori_Face/train/LiuWen/337.jpg,1
split_Ori_Face/train/LiuWen/260.jpg,1
split_Ori_Face/train/LiuWen/273.jpg,1
split_Ori_Face/train/LiuWen/26.jpg,1
split_Ori_Face/train/LiuWen/430.jpg,1
split_Ori_Face/train/LiuWen/151.jpg,1
split_Ori_Face/train/LiuWen/279.jpg,1
split_Ori_Face/train/LiuWen/199.jpg,1
split_Ori_Face/train/LiuWen/435.jpg,1
split_Ori_Face/train/LiuWen/576.jpg,1
split_Ori_Face/train/LiuWen/329.jpg,1
split_Ori_Face/train/LiuWen/429.jpg,1
split_Ori_Face/train/LiuWen/86.jpg,1
split_Ori_Face/train/LiuWen/6.jpg,1
split_Ori_Face/train/LiuWen/498.jpg,1
split_Ori_Face/train/LiuWen/227.jpg,1
split_Ori_Face/train/LiuWen/89.jpg,1
split_Ori_Face/train/LiuWen/618.jpg,1
split_Ori_Face/train/LiuWen/556.jpg,1
split_Ori_Face/train/LiuWen/415.jpg,1
split_Ori_Face/train/LiuWen/79.jpg,1
split_Ori_Face/train/LiuWen/125.jpg,1
split_Ori_Face/train/LiuWen/566.jpg,1
split_Ori_Face/train/LiuWen/616.jpg,1
split_Ori_Face/train/LiuWen/345.jpg,1
split_Ori_Face/train/LiuWen/226.jpg,1
split_Ori_Face/train/LiuWen/305.jpg,1
split_Ori_Face/train/LiuWen/563.jpg,1
split_Ori_Face/train/LiuWen/562.jpg,1
split_Ori_Face/train/LiuWen/544.jpg,1
split_Ori_Face/train/LiuWen/323.jpg,1
split_Ori_Face/train/LiuWen/442.jpg,1
split_Ori_Face/train/LiuWen/392.jpg,1
split_Ori_Face/train/LiuWen/152.jpg,1
split_Ori_Face/train/LiuWen/294.jpg,1
split_Ori_Face/train/LiuWen/175.jpg,1
split_Ori_Face/train/LiuWen/378.jpg,1
split_Ori_Face/train/LiuWen/16.jpg,1
split_Ori_Face/train/LiuWen/445.jpg,1
split_Ori_Face/train/LiuWen/42.jpg,1
split_Ori_Face/train/LiuWen/139.jpg,1
split_Ori_Face/train/LiuWen/88.jpg,1
split_Ori_Face/train/LiuWen/137.jpg,1
split_Ori_Face/train/LiuWen/565.jpg,1
split_Ori_Face/train/LiuWen/208.jpg,1
split_Ori_Face/train/LiuWen/380.jpg,1
split_Ori_Face/train/LiuWen/606.jpg,1
split_Ori_Face/train/LiuWen/444.jpg,1
split_Ori_Face/train/LiuWen/167.jpg,1
split_Ori_Face/train/LiuWen/572.jpg,1
split_Ori_Face/train/LiuWen/395.jpg,1
split_Ori_Face/train/LiuWen/131.jpg,1
split_Ori_Face/train/LiuWen/503.jpg,1
split_Ori_Face/train/LiuWen/39.jpg,1
split_Ori_Face/train/LiuWen/134.jpg,1
split_Ori_Face/train/LiuWen/561.jpg,1
split_Ori_Face/train/LiuWen/181.jpg,1
split_Ori_Face/train/LiuWen/76.jpg,1
split_Ori_Face/train/LiuWen/130.jpg,1
split_Ori_Face/train/LiuWen/381.jpg,1
